school,abbr,ftEmployed,ftGradschool,ptEmployed,gapYear,jobSearch,careerFTE,careerServices,orgsRecruiting,operatingBudget,employerPartners,totalCostAttendance,pellGrants,graduatingClassSize,totalSchoolSize,totalRevenue,retentionRate,studentFacultyRatio,graduationRate,financialAidFirst,financialAidAll,fulltimeFaculty,numberApplicants,admitRate,admitYield
Franklin and Marshall College,FRA,0,0,0,0,0,0,0,0,0,0,63269,15,603,2209,164105704,91,9,83,60,2297,231,5472,39,28
Grinnell College,GRI,0,0,0,0,0,0,0,0,0,0,59317,24,368,1734,375605000,94,9,90,94,1721,191,6058,28,26
Hamilton College,HAM,0,0,0,0,0,0,0,0,0,0,61770,14,500,1904,290935000,96,9,91,60,1926,202,5071,26,35
Harvey Mudd College,HAR,0,0,0,0,0,0,0,0,0,0,66627,14,181,804,93208118,97,8,88,76,807,98,3678,14,37
Haverford College,HAV,0,0,0,0,0,0,0,0,0,0,64226,15,304,1194,149560094,97,8,93,55,1187,146,3496,25,39
Kenyon College,KEN,0,0,0,0,0,0,0,0,0,0,62160,10,468,1662,138261958,94,10,90,55,1705,176,6635,25,27
Lafayette College,LAF,0,0,0,0,0,0,0,0,0,0,61905,11,590,2503,253702794,93,10,91,61,2486,240,7796,30,28
Macalester College,MAC,0,0,0,0,0,0,0,0,0,0,59743,18,463,2073,167908000,94,10,90,78,2039,191,6463,36,23
Middlebury College,MID,0,0,0,0,0,0,0,0,0,0,61160,11,860,2526,363793000,96,9,94,46,2495,305,8195,17,41
Mount Holyoke College,MOU,0,0,0,0,0,0,0,0,0,0,57046,19,598,2189,208668763,91,10,81,81,2183,238,3201,55,31
Oberlin College,OBE,0,0,0,0,0,0,0,0,0,0,64396,11,688,2961,296797547,94,9,85,91,2894,336,7227,33,34
Occidental College,OCC,0,0,0,0,0,0,0,0,0,0,64804,22,513,2040,172492425,93,10,84,71,2055,173,6071,42,21
Pitzer College,PIT,0,0,0,0,0,0,0,0,0,0,63750,16,274,1076,76563802,90,12,87,43,1081,80,4324,13,46
Pomona College,POM,0,0,0,0,0,0,0,0,0,0,62632,18,391,1650,428661000,98,7,96,65,1610,222,7727,12,48
Rhodes College,RHO,0,0,0,0,0,0,0,0,0,0,55644,14,441,2031,128567579,88,11,81,91,2027,183,3382,60,25
Scripps College,SCR,0,0,0,0,0,0,0,0,0,0,63740,12,255,972,94932029,94,10,90,61,980,83,3003,28,29
Sewanee-The University of the South,SEW,0,0,0,0,0,0,0,0,0,0,49700,19,389,1631,140829488,88,10,78,78,1624,154,2977,65,24
Skidmore College,SKI,0,0,0,0,0,0,0,0,0,0,62750,14,691,2632,191220000,95,8,88,54,2684,263,8669,37,22
Smith College,SMI,0,0,0,0,0,0,0,0,0,0,62330,22,842,2563,406780111,94,9,85,69,2606,312,4466,42,33
Soka University of America,SOK,0,0,0,0,0,0,0,0,0,0,44550,29,95,411,174947000,96,9,92,100,412,47,405,43,57
Swarthmore College,SWA,0,0,0,0,0,0,0,0,0,0,62450,15,367,1542,389421000,95,8,92,60,1534,199,5540,17,43
Trinity College,TRI,0,0,0,0,0,0,0,0,0,0,64256,11,570,2316,218874964,89,9,83,47,2301,195,7507,33,25
Union College,UNI,0,0,0,0,0,0,0,0,0,0,62205,16,515,2242,176077334,90,10,83,79,2246,212,5406,41,26
University of Richmond,UNI,0,0,0,0,0,0,0,0,0,0,59630,19,1259,3346,754808000,94,8,83,60,3215,397,9921,32,26
Vassar College,VAS,0,0,0,0,0,0,0,0,0,0,63390,23,625,2421,263741812,95,8,91,69,2477,284,7784,24,36
Washington and Lee University,WAS,0,0,0,0,0,0,0,0,0,0,60084,10,553,1890,286118000,97,8,90,63,1855,256,5837,19,41
Wellesley College,WEL,0,0,0,0,0,0,0,0,0,0,61088,18,605,2323,466547000,94,7,92,68,2474,333,4710,30,42
Wesleyan University,WES,0,0,0,0,0,0,0,0,0,0,64163,18,820,2928,302509000,96,8,91,48,2906,352,9390,24,33
Whitman College,WHI,0,0,0,0,0,0,0,0,0,0,58228,11,414,1498,145065154,94,9,87,79,1541,175,3653,41,26
Williams College,WIL,0,0,0,0,0,0,0,0,0,0,64020,19,565,2072,486847596,98,6,96,61,2096,297,6316,19,45
